trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
307,False,"{'a': 0.001, 'e': 0.7356506009072533}",30,9,-138.78392959976125,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 3}",1
308,False,"{'a': 0.001, 'e': 0.7349153180090687}",20,7,-39.94830084055016,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
309,False,"{'a': 0.001, 'e': 0.7341807700262634}",20,2,-6.643943669817077,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
310,False,"{'a': 0.001, 'e': 0.7334469562242892}",25,7,-51.03117158070627,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
311,False,"{'a': 0.001, 'e': 0.7327138758693325}",25,6,-11.045897763724575,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
312,False,"{'a': 0.001, 'e': 0.7319815282283126}",25,0,-79.76207585113524,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
313,False,"{'a': 0.001, 'e': 0.731249912568882}",25,3,-38.563604055294235,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 0}",1
314,False,"{'a': 0.001, 'e': 0.7305190281594249}",25,0,-61.511881390088284,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
315,False,"{'a': 0.001, 'e': 0.7297888742690568}",20,0,-58.76642676401372,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
316,False,"{'a': 0.001, 'e': 0.7290594501676237}",25,0,-109.99651211465364,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
317,False,"{'a': 0.001, 'e': 0.7283307551257017}",30,0,-112.20712358663278,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
318,False,"{'a': 0.001, 'e': 0.7276027884145955}",20,0,-119.18364781789987,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
319,False,"{'a': 0.001, 'e': 0.7268755493063382}",20,0,-21.41289840932853,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
320,False,"{'a': 0.001, 'e': 0.7261490370736909}",25,0,-60.33262274974032,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
321,False,"{'a': 0.001, 'e': 0.7254232509901412}",20,0,-88.92510637916445,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
322,False,"{'a': 0.001, 'e': 0.7246981903299029}",30,8,-71.5120701085582,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
323,False,"{'a': 0.001, 'e': 0.7239738543679153}",20,0,-60.442801747248765,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
324,False,"{'a': 0.001, 'e': 0.7232502423798424}",20,11,-25.74689850567303,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
325,False,"{'a': 0.001, 'e': 0.7225273536420722}",20,0,-77.39988631150987,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
326,False,"{'a': 0.001, 'e': 0.7218051874317158}",35,21,9.039062608045079,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.001, 'e': 0.721083743026607}",20,0,-80.17578784731026,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
328,False,"{'a': 0.001, 'e': 0.7203630197053014}",30,19,-10.336752707694869,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
329,False,"{'a': 0.001, 'e': 0.7196430167470754}",20,10,-60.33834990762268,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
330,False,"{'a': 0.001, 'e': 0.7189237334319262}",25,0,-112.52146113598525,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
331,False,"{'a': 0.001, 'e': 0.7182051690405703}",25,6,-131.6223065674728,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 3}",1
332,False,"{'a': 0.001, 'e': 0.7174873228544433}",25,0,-135.01913422450662,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
333,False,"{'a': 0.001, 'e': 0.716770194155699}",30,0,-89.85719769999719,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
334,False,"{'a': 0.001, 'e': 0.7160537822272085}",20,2,-137.58425151062127,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 2}",1
335,False,"{'a': 0.001, 'e': 0.7153380863525599}",30,2,-96.2072978566256,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 0}",1
